Date,Close,Volume
2006-01-09,76.049998,168760200
2006-01-10,80.86000200000001,569967300
2006-01-11,83.899998,373448600
2006-01-12,84.29,320202400
2006-01-13,85.590003,194076400
2006-01-17,84.710003,208905900
2006-01-18,82.489999,300159300
2006-01-19,79.04,423962000
2006-01-20,76.089999,283689700
2006-01-23,77.670002,264932500
2006-01-24,76.039998,285563600
2006-01-25,74.20000300000001,318946600
2006-01-26,72.33,295346800
2006-01-27,72.03,238466200
2006-01-30,75.000001,349600300
2006-01-31,75.509999,228385500
2006-02-01,75.419997,130296600
2006-02-02,72.100001,176830500
2006-02-03,71.850002,173030900
2006-02-06,67.299998,412941900
2006-02-07,67.599998,347207700
2006-02-08,68.809999,238278600
2006-02-09,64.949998,287441000
2006-02-10,67.309999,440119400
2006-02-13,64.709999,220874500
2006-02-14,67.639999,290234700
2006-02-15,69.22000200000001,289942800
2006-02-16,70.57,237043800
2006-02-17,70.29,143999800
2006-02-21,69.079999,194901700
2006-02-22,71.319997,244559700
2006-02-23,71.75,214229400
2006-02-24,71.46,133686000
2006-02-27,70.990003,197810200
2006-02-28,68.489999,316745100
2006-03-01,69.099999,190954400
2006-03-02,69.609998,156318400
2006-03-03,67.720001,184417100
2006-03-06,65.479997,228166400
2006-03-07,66.310002,218219400
2006-03-08,65.660001,163312800
2006-03-09,63.930001000000004,199826200
2006-03-10,63.189997999999996,260785700
2006-03-13,65.680001,215296900
2006-03-14,67.319999,160505100
2006-03-15,66.23,222999000
2006-03-16,64.31000300000001,187409600
2006-03-17,64.659998,203010500
2006-03-20,63.990003,151360300
2006-03-21,61.809999,336341600
2006-03-22,61.670003,336473900
2006-03-23,60.160002,356956600
2006-03-24,59.959996999999994,267995000
2006-03-27,59.51,277018000
2006-03-28,58.710002,342580700
2006-03-29,62.329997999999996,586708500
2006-03-30,62.750001,347662700
2006-03-31,62.72,203839300
2006-04-03,62.649999,203947800
2006-04-04,61.169998,232981000
2006-04-05,67.210003,558352200
